store_code,sales_date,sales_time,product_code,amount,payment_code,gender,age
0,2006/7/18,0:00:02,A00001,1,1,M,20
27001,2006/7/19,0:00:05,A00002,2,1,F,30
27002,2006/7/20,0:00:08,A00003,1,1,F,20
27003,2006/7/21,0:00:11,A00004,1,2,F,50
27004,2006/7/22,0:00:14,A00005,1,3,M,60
27005,2006/7/23,0:00:17,A00006,3,4,F,20
27006,2006/7/24,0:00:20,A00007,1,1,M,20
27007,2006/7/25,0:00:23,A00008,1,2,M,30
19001,2006/7/26,0:00:26,A00009,2,1,M,20
19002,2006/7/27,0:00:29,A00010,5,1,F,60
19003,2006/7/28,0:00:32,A00011,3,2,F,20
19004,2006/7/29,0:00:35,A00012,1,1,F,20
19005,2006/7/30,0:00:38,A00013,1,1,M,40
19006,2006/7/31,0:00:41,A00014,4,3,F,20
19007,2006/8/1,0:00:44,A00015,1,1,M,20
0,2006/8/2,0:00:47,A00016,1,1,M,30
27001,2006/8/3,0:00:50,A00017,2,5,M,30
27002,2006/8/4,0:00:53,A00018,1,1,F,20
27003,2006/8/5,0:00:56,A00019,1,1,F,20
27004,2006/8/6,0:00:59,A00020,2,1,F,60
27005,2006/8/7,0:01:02,A00021,1,1,M,20
27006,2006/8/8,0:01:05,B00001,1,2,F,30
27007,2006/8/9,0:01:08,B00002,1,3,M,20
19001,2006/8/10,0:01:11,B00003,3,4,M,50
19002,2006/8/11,0:01:14,B00004,1,1,M,60
19003,2006/8/12,0:01:17,B00005,1,2,F,20
19004,2006/8/13,0:01:20,B00006,2,1,F,20
19005,2006/8/14,0:01:23,B00007,5,1,F,30
19006,2006/8/15,0:01:26,C00001,3,2,M,20
19007,2006/8/16,0:01:29,C00002,1,1,F,60
0,2006/8/17,0:01:32,C00003,1,1,M,20
27001,2006/8/18,0:01:35,C00004,4,3,M,20
27002,2006/8/19,0:01:38,C00005,1,1,M,40
27003,2006/8/20,0:01:41,D00001,1,1,F,20
27004,2006/8/21,0:01:44,D00002,2,5,F,20
27005,2006/8/22,0:01:47,D00003,1,1,F,30
27006,2006/8/23,0:01:50,D00004,1,1,M,30
27007,2006/8/24,0:01:53,D00005,2,1,F,20
19001,2006/8/25,0:01:56,D00006,1,1,M,20
19002,2006/8/26,0:01:59,D00007,1,2,M,60
19003,2006/8/27,0:02:02,E00001,1,3,M,20
19004,2006/8/28,0:02:05,E00002,3,4,F,30
19005,2006/8/29,0:02:08,E00003,1,1,F,20
19006,2006/8/30,0:02:11,F00001,1,2,F,50
19007,2006/8/31,0:02:14,F00002,2,1,M,60
0,2006/9/1,0:02:17,F00003,5,1,F,20
27001,2006/9/2,0:02:20,F00004,3,2,M,20
27002,2006/9/3,0:02:23,F00005,1,1,M,30
27003,2006/9/4,0:02:26,F00006,1,1,M,20
27004,2006/9/5,0:02:29,F00007,4,3,F,60
27005,2006/9/6,0:02:32,G00001,1,1,F,20
27006,2006/9/7,0:02:35,G00002,1,1,F,20
27007,2006/9/8,0:02:38,G00003,2,5,M,40
19001,2006/9/9,0:02:41,G00004,1,1,F,20
19002,2006/9/10,0:02:44,H00001,1,1,M,20
19003,2006/9/11,0:02:47,H00002,2,1,M,30
19004,2006/9/12,0:02:50,H00003,1,1,M,30
19005,2006/9/13,0:02:53,H00004,1,2,F,20
19006,2006/9/14,0:02:56,I00001,1,3,F,20
19007,2006/9/15,0:02:59,I00002,3,4,F,60
